"State","Year","educ_spending","governor","house","senate"
"AK","1997",7548.493164,-1,1,1
"AK","1998",7126.733398,-1,1,1
"AK","1999",7616.569336,-1,1,1
"AK","2000",7729.85498,-1,1,1
"AK","2001",7947.723145,-1,1,1
"AK","2002",8204.307617,-1,1,1
"AK","2003",8377.128906,1,1,1
"AK","2004",8476.907227,1,1,1
"AK","2005",8799.779297,1,1,1
"AK","2006",9063.064453,1,1,1
"AK","2007",9467.491211,1,1,-1
"AK","2008",10975.70898,1,1,-1
"AK","2009",11693.56543,1,1,-1
"AK","2010",11965.5791,1,1,-1
"AK","2011",11938.80273,1,1,-1
"AK","2012",11259.58887,1,1,-1
"AK","2013",11627.92285,1,1,1
"AL","1997",3929.448486,1,-1,-1
"AL","1998",4163.139648,1,-1,-1
"AL","1999",4434.193848,-1,-1,-1
"AL","2000",4597.625488,-1,-1,-1
"AL","2001",4651.033691,-1,-1,-1
"AL","2002",4741.522949,-1,-1,-1
"AL","2003",4830.528809,1,-1,-1
"AL","2004",4878.824707,1,-1,-1
"AL","2005",5064.419922,1,-1,-1
"AL","2006",5407.318359,1,-1,-1
"AL","2007",5830.137695,1,-1,-1
"AL","2008",6209.24707,1,-1,-1
"AL","2009",6106.866211,1,-1,-1
"AL","2010",6029.245117,1,-1,-1
"AL","2011",5976.07373,1,1,1
"AL","2012",5651.526855,1,1,1
"AL","2013",5737.530762,1,1,1
"AR","1997",3891.274902,1,-1,-1
"AR","1998",4140.826172,1,-1,-1
"AR","1999",4288.74707,1,-1,-1
"AR","2000",4398.520508,1,-1,-1
"AR","2001",4542.166016,1,-1,-1
"AR","2002",4707.26416,1,-1,-1
"AR","2003",4905.808105,1,-1,-1
"AR","2004",5048.827637,1,-1,-1
"AR","2005",5509.26709,1,-1,-1
"AR","2006",5643.917969,1,-1,-1
"AR","2007",5740.854492,-1,-1,-1
"AR","2008",5779.647949,-1,-1,-1
"AR","2009",6204.616211,-1,-1,-1
"AR","2010",6552.055176,-1,-1,-1
