"State","Year","Income"
"AK",1997,47990
"AK",1998,50690
"AK",1999,51400
"AK",2000,52850
"AK",2001,57360
"AK",2002,52770
"AK",2003,51840
"AK",2004,55060
"AK",2005,55890
"AK",2006,56420
"AK",2007,62990
"AK",2008,63990
"AK",2009,61600
"AK",2010,57850
"AK",2011,57430
"AK",2012,63650
"AK",2013,66805
"AL",1997,31940
"AL",1998,36270
"AL",1999,36250
"AL",2000,35420
"AL",2001,35160
"AL",2002,37600
"AL",2003,37260
"AL",2004,36630
"AL",2005,37150
"AL",2006,37950
"AL",2007,42210
"AL",2008,44480
"AL",2009,39980
"AL",2010,40930
"AL",2011,42590
"AL",2012,43460
"AL",2013,44350
"AR",1997,26160
"AR",1998,27670
"AR",1999,29680
"AR",2000,29700
"AR",2001,33340
"AR",2002,32390
"AR",2003,32000
"AR",2004,34980
"AR",2005,36660
"AR",2006,37060
"AR",2007,40800
"AR",2008,39590
"AR",2009,36540
"AR",2010,38590
"AR",2011,41300
"AR",2012,39020
"AR",2013,39650
"AZ",1997,32740
"AZ",1998,37090
"AZ",1999,37000
"AZ",2000,39780
"AZ",2001,42700
"AZ",2002,39730
"AZ",2003,41170
"AZ",2004,43850
"AZ",2005,45250
"AZ",2006,46660
"AZ",2007,47220
"AZ",2008,46910
"AZ",2009,45740
"AZ",2010,46900
"AZ",2011,48620
"AZ",2012,47040
"AZ",2013,51605
"CA",1997,39690
"CA",1998,40930
"CA",1999,43630
"CA",2000,46820
"CA",2001,47260
"CA",2002,47440
"CA",2003,49300
"CA",2004,49220
"CA",2005,51760
"CA",2006,55320
"CA",2007,55730
"CA",2008,57010
"CA",2009,56130
"CA",2010,54280
"CA",2011,53370
"CA",2012,57020
"CA",2013,59160
"CO",1997,43230
"CO",1998,46600
"CO",1999,48180
"CO",2000,48240
"CO",2001,49400
"CO",2002,48290
"CO",2003,49940
"CO",2004,50890
"CO",2005,50450
"CO",2006,55700
"CO",2007,61140
"CO",2008,60940
"CO",2009,55930
"CO",2010,60230
"CO",2011,58630
"CO",2012,57260
"CO",2013,65640
"CT",1997,43990
"CT",1998,46510
"CT",1999,50590
"CT",2000,50170
"CT",2001,53350
"CT",2002,53390
"CT",2003,54970
"CT",2004,55100
"CT",2005,56840
"CT",2006,62400
"CT",2007,64140
"CT",2008,64680
"CT",2009,64850
"CT",2010,66000
"CT",2011,65420
"CT",2012,64250
"CT",2013,68535
"DC",1997,31860
"DC",1998,33430
"DC",1999,38670
"DC",2000,41220
"DC",2001,41170
"DC",2002,39070
"DC",2003,45040
"DC",2004,43450
"DC",2005,44990
"DC",2006,48480
"DC",2007,50780
"DC",2008,55590
"DC",2009,53140
"DC",2010,56930
"DC",2011,55250
"DC",2012,65250
"DC",2013,60370
"DE",1997,43030
"DE",1998,41460
"DE",1999,46630
"DE",2000,50370
"DE",2001,49600
"DE",2002,49650
"DE",2003,49020
"DE",2004,48050
"DE",2005,51240
"DE",2006,52440
"DE",2007,54590
"DE",2008,50700
"DE",2009,52110
"DE",2010,55210
"DE",2011,54660
"DE",2012,48970
"DE",2013,53155
"FL",1997,32460
"FL",1998,34910
"FL",1999,35830
"FL",2000,38860
"FL",2001,36420
"FL",2002,38020
"FL",2003,38970
"FL",2004,40540
"FL",2005,42990
"FL",2006,45680
"FL",2007,45790
"FL",2008,44860
"FL",2009,45630
"FL",2010,44070
"FL",2011,45110
"FL",2012,46070
"FL",2013,48210
"GA",1997,36660
"GA",1998,38670
"GA",1999,39430
"GA",2000,41900
"GA",2001,42580
"GA",2002,42940
"GA",2003,42440
"GA",2004,40980
"GA",2005,45930
"GA",2006,49340
"GA",2007,48640
"GA",2008,46230
"GA",2009,43340
"GA",2010,44120
"GA",2011,45970
"GA",2012,48120
"GA",2013,47215
"HI",1997,40930
"HI",1998,40830
"HI",1999,44500
"HI",2000,51550
"HI",2001,47440
"HI",2002,47300
"HI",2003,51830
