State,Year,unemployment_rate
AL,1994,6.2
AK,1994,7.6
AZ,1994,6.2
AR,1994,5.4
CA,1994,8.7
CO,1994,4.2
CT,1994,5.6
DE,1994,4.8
FL,1994,6.5
GA,1994,5.1
HI,1994,5.2
ID,1994,5.5
IL,1994,5.8
IN,1994,4.6
IA,1994,3.6
KS,1994,4.8
KY,1994,5.4
LA,1994,7.6
ME,1994,6.6
MD,1994,5.3
MA,1994,6.2
MI,1994,6.1
MN,1994,4
MS,1994,6.3
MO,1994,5.1
MT,1994,5.5
NE,1994,2.6
NV,1994,6.3
NH,1994,4.5
NJ,1994,6.8
NM,1994,6.5
NY,1994,6.9
NC,1994,4.4
ND,1994,3.7
OH,1994,5.6
OK,1994,5.3
OR,1994,5.3
PA,1994,6.3
RI,1994,6.7
SC,1994,6.2
SD,1994,3.3
TN,1994,4.8
TX,1994,6.6
UT,1994,3.7
VT,1994,4.4
VA,1994,4.8
WA,1994,6.4
WV,1994,8.8
WI,1994,4.3
WY,1994,4.9
AL,1995,5.9
AK,1995,7.3
AZ,1995,5.3
AR,1995,4.9
CA,1995,7.9
CO,1995,4
CT,1995,5.3
DE,1995,4.4
FL,1995,5.6
GA,1995,4.8
HI,1995,5.5
ID,1995,5.5
IL,1995,5.2
IN,1995,4.4
IA,1995,3.5
KS,1995,4.3
KY,1995,5.4
LA,1995,6.8
ME,1995,5.9
MD,1995,5
MA,1995,5.5
MI,1995,5.3
MN,1995,3.7
MS,1995,6.2
MO,1995,4.8
MT,1995,5.7
NE,1995,2.6
NV,1995,5.6
NH,1995,3.8
NJ,1995,6.4
NM,1995,6.6
NY,1995,6.3
NC,1995,4.4
ND,1995,3.3
OH,1995,4.9
OK,1995,4.4
OR,1995,4.8
PA,1995,5.9
RI,1995,6.3
SC,1995,5.1
SD,1995,3.2
TN,1995,5.1
TX,1995,6.1
UT,1995,3.4
VT,1995,4.2
VA,1995,4.4
WA,1995,6.2
WV,1995,8
WI,1995,3.7
WY,1995,4.8
AL,1996,5.2
AK,1996,7.5
AZ,1996,5.5
AR,1996,5.2
CA,1996,7.3
CO,1996,4.2
CT,1996,5.2
DE,1996,5.2
FL,1996,5.3
GA,1996,4.6
HI,1996,5.9
ID,1996,5.4
IL,1996,5.3
IN,1996,3.9
IA,1996,3.6
KS,1996,4.3
KY,1996,5.4
LA,1996,6.4
ME,1996,5.3
MD,1996,4.9
MA,1996,4.6
MI,1996,4.9
MN,1996,3.8
MS,1996,6
MO,1996,4.7
MT,1996,5.5
NE,1996,2.7
NV,1996,5.1
NH,1996,3.8
NJ,1996,6.1
NM,1996,7.6
NY,1996,6.2
NC,1996,4.4
ND,1996,3.2
OH,1996,5
OK,1996,4
OR,1996,5.6
PA,1996,5.5
RI,1996,5.2
SC,1996,5.7
SD,1996,3.3
TN,1996,5.2
TX,1996,5.8
UT,1996,3.4
VT,1996,4.2
VA,1996,4.2
WA,1996,5.9
WV,1996,7.7
WI,1996,3.6
WY,1996,5
AL,1997,5
AK,1997,7
AZ,1997,4.6
AR,1997,5.1
CA,1997,6.4
CO,1997,3.4
CT,1997,4.7
DE,1997,4.1
FL,1997,4.9
GA,1997,4.5
HI,1997,5.9
ID,1997,5.2
IL,1997,4.8
IN,1997,3.4
IA,1997,3.1
KS,1997,3.8
KY,1997,5.2
LA,1997,5.9
ME,1997,5.2
MD,1997,4.8
MA,1997,4.1
MI,1997,4.3
MN,1997,3.2
MS,1997,5.7
MO,1997,4.4
MT,1997,5.5
NE,1997,2.4
NV,1997,4.4
NH,1997,3.4
NJ,1997,5.3
NM,1997,6.4
NY,1997,6.4
NC,1997,3.8
ND,1997,2.9
OH,1997,4.6
OK,1997,4
OR,1997,5.5
PA,1997,5.1
RI,1997,5.3
SC,1997,4.5
SD,1997,2.9
TN,1997,5.2
TX,1997,5.4
UT,1997,3.2
VT,1997,3.9
VA,1997,3.6
WA,1997,4.9
WV,1997,7
WI,1997,3.5
WY,1997,4.8
AL,1998,4.5
AK,1998,6.3
AZ,1998,4.3
AR,1998,5
CA,1998,6
CO,1998,3.6
CT,1998,3.2
DE,1998,3.5
FL,1998,4.4
GA,1998,4.2
HI,1998,5.8
ID,1998,5.3
IL,1998,4.5
IN,1998,3
IA,1998,2.9
KS,1998,3.7
KY,1998,4.5
LA,1998,5.5
ME,1998,4.5
MD,1998,4.2
MA,1998,3.4
MI,1998,4
MN,1998,2.7
MS,1998,5.2
MO,1998,4.1
MT,1998,5.6
NE,1998,2.5
NV,1998,4.2
NH,1998,2.8
NJ,1998,4.6
NM,1998,6.2
NY,1998,5.6
NC,1998,3.5
ND,1998,3
OH,1998,4.3
OK,1998,4.1
OR,1998,5.6
PA,1998,4.7
RI,1998,4.6
SC,1998,3.6
SD,1998,2.9
TN,1998,4.3
TX,1998,5
UT,1998,3.6
VT,1998,3.4
VA,1998,2.8
WA,1998,4.8
WV,1998,6.6
WI,1998,3.3
WY,1998,4.8
AL,1999,4.7
AK,1999,6.4
AZ,1999,4.5
AR,1999,4.5
CA,1999,5.3
CO,1999,3
CT,1999,2.5
DE,1999,3.2
FL,1999,3.9
GA,1999,3.8
HI,1999,5.2
ID,1999,5
IL,1999,4.4
IN,1999,2.9
IA,1999,2.7
KS,1999,3.5
KY,1999,4.5
LA,1999,4.9
ME,1999,4
MD,1999,3.4
MA,1999,3.3
MI,1999,3.8
MN,1999,2.7
MS,1999,5.1
MO,1999,3.2
MT,1999,5.3
NE,1999,2.8
NV,1999,4.1
NH,1999,2.7
NJ,1999,4.4
NM,1999,5.6
NY,1999,5.2
NC,1999,3.3
ND,1999,3.1
OH,1999,4.3
OK,1999,3.5
OR,1999,5.5
PA,1999,4.5
RI,1999,4.2
SC,1999,4.2
SD,1999,2.7
TN,1999,4
TX,1999,4.7
UT,1999,3.5
VT,1999,3.1
VA,1999,2.7
WA,1999,4.8
WV,1999,6.5
WI,1999,3.1
WY,1999,4.7
AL,2000,4.7
AK,2000,6.3
AZ,2000,4
AR,2000,4.2
CA,2000,4.9
CO,2000,2.7
CT,2000,2.1
DE,2000,3.4
FL,2000,3.7
GA,2000,3.5
HI,2000,4.2
ID,2000,4.6
IL,2000,4.5
IN,2000,3
IA,2000,2.7
KS,2000,3.7
KY,2000,4.2
LA,2000,5.1
ME,2000,3.3
MD,2000,3.6
MA,2000,2.8
MI,2000,3.6
MN,2000,3.1
MS,2000,5.3
MO,2000,3.4
MT,2000,4.8
NE,2000,2.8
NV,2000,4.2
NH,2000,2.7
NJ,2000,3.7
NM,2000,5
NY,2000,4.5
NC,2000,3.8
ND,2000,2.9
OH,2000,4.1
OK,2000,3
OR,2000,5.2
PA,2000,4.2
RI,2000,4
SC,2000,3.7
SD,2000,2.5
TN,2000,3.8
TX,2000,4.4
UT,2000,3.3
VT,2000,2.8
VA,2000,2.3
WA,2000,5.1
WV,2000,5.6
WI,2000,3.4
WY,2000,3.8
AL,2001,5.1
AK,2001,6.3
AZ,2001,4.7
AR,2001,4.8
CA,2001,5.5
CO,2001,3.8
CT,2001,2.9
DE,2001,3.5
FL,2001,4.7
GA,2001,4
HI,2001,4.3
ID,2001,5.1
IL,2001,5.4
IN,2001,4.2
IA,2001,3.3
KS,2001,4.3
KY,2001,5.2
LA,2001,5.6
ME,2001,3.8
MD,2001,4.1
MA,2001,3.8
MI,2001,5.2
MN,2001,3.7
MS,2001,5.5
MO,2001,4.5
MT,2001,4.6
NE,2001,3.2
NV,2001,5.1
NH,2001,3.4
NJ,2001,4.2
NM,2001,5
NY,2001,4.9
NC,2001,5.5
ND,2001,2.8
OH,2001,4.4
OK,2001,3.6
OR,2001,6.4
PA,2001,4.8
RI,2001,4.5
SC,2001,5.2
SD,2001,3
TN,2001,4.6
TX,2001,5
UT,2001,4.4
VT,2001,3.2
VA,2001,3.2
WA,2001,6.1
WV,2001,5.3
WI,2001,4.4
WY,2001,3.9
AL,2002,5.9
AK,2002,7.2
AZ,2002,6.2
AR,2002,5.3
CA,2002,6.7
CO,2002,5.7
CT,2002,4.4
DE,2002,4.1
FL,2002,5.6
GA,2002,5
HI,2002,4
ID,2002,5.7
IL,2002,6.5
IN,2002,5.1
IA,2002,4
KS,2002,5.1
KY,2002,5.8
LA,2002,6
ME,2002,4.4
MD,2002,4.5
MA,2002,5.2
MI,2002,6.2
MN,2002,4.4
MS,2002,6.4
MO,2002,5.3
MT,2002,4.6
NE,2002,3.7
NV,2002,5.6
NH,2002,4.5
NJ,2002,5.8
NM,2002,5.5
NY,2002,6.2
NC,2002,6.5
ND,2002,3.4
OH,2002,5.8
OK,2002,4.6
OR,2002,7.5
PA,2002,5.6
RI,2002,5.1
SC,2002,6.1
SD,2002,3.2
TN,2002,5.2
TX,2002,6.4
UT,2002,5.7
VT,2002,3.9
VA,2002,4.2
WA,2002,7.2
WV,2002,6.1
WI,2002,5.3
WY,2002,4.1
AL,2003,5.9
AK,2003,7.7
AZ,2003,5.8
AR,2003,5.8
CA,2003,6.9
CO,2003,6.1
CT,2003,5.4
DE,2003,4.3
FL,2003,5.3
GA,2003,4.8
HI,2003,3.9
ID,2003,5.6
IL,2003,6.7
IN,2003,5.2
IA,2003,4.5
KS,2003,5.6
KY,2003,6.2
LA,2003,6.2
ME,2003,5.1
MD,2003,4.5
MA,2003,5.7
MI,2003,7.1
MN,2003,4.8
MS,2003,6.1
MO,2003,5.7
MT,2003,4.7
NE,2003,3.9
NV,2003,5.2
NH,2003,4.4
NJ,2003,5.8
NM,2003,5.9
NY,2003,6.4
NC,2003,6.3
ND,2003,3.5
OH,2003,6.2
OK,2003,5.4
OR,2003,8
PA,2003,5.7
RI,2003,5.5
SC,2003,6.7
SD,2003,3.5
TN,2003,5.5
TX,2003,6.8
UT,2003,5.6
VT,2003,4.3
VA,2003,4.1
WA,2003,7.3
WV,2003,6.1
WI,2003,5.6
WY,2003,4.3
AL,2004,5.6
AK,2004,7.4
AZ,2004,5
AR,2004,5.6
CA,2004,6.2
CO,2004,5.6
CT,2004,5
DE,2004,4
FL,2004,4.6
GA,2004,4.8
HI,2004,3.3
ID,2004,4.9
IL,2004,6.2
IN,2004,5.4
IA,2004,4.5
KS,2004,5.5
KY,2004,5.5
LA,2004,5.7
ME,2004,4.7
MD,2004,4.3
MA,2004,5.1
MI,2004,7
MN,2004,4.6
MS,2004,6.2
MO,2004,5.9
MT,2004,4.5
NE,2004,3.9
NV,2004,4.4
NH,2004,3.8
NJ,2004,4.9
NM,2004,5.6
NY,2004,5.8
NC,2004,5.5
ND,2004,3.4
OH,2004,6.2
OK,2004,4.7
OR,2004,7.4
PA,2004,5.4
RI,2004,5.3
SC,2004,6.9
SD,2004,3.6
