Notes,State,State Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Ethnicity,Ethnicity Code,Population
,Alabama,1,1990,1990,Hispanic or Latino,2135-2,24107
,Alabama,1,1990,1990,Not Hispanic or Latino,2186-5,4025948
Total,Alabama,1,1990,1990,,,4050055
,Alabama,1,1991,1991,Hispanic or Latino,2135-2,25012
,Alabama,1,1991,1991,Not Hispanic or Latino,2186-5,4074144
Total,Alabama,1,1991,1991,,,4099156
,Alabama,1,1992,1992,Hispanic or Latino,2135-2,26745
,Alabama,1,1992,1992,Not Hispanic or Latino,2186-5,4127269
Total,Alabama,1,1992,1992,,,4154014
,Alabama,1,1993,1993,Hispanic or Latino,2135-2,29537
,Alabama,1,1993,1993,Not Hispanic or Latino,2186-5,4184665
Total,Alabama,1,1993,1993,,,4214202
,Alabama,1,1994,1994,Hispanic or Latino,2135-2,33152
,Alabama,1,1994,1994,Not Hispanic or Latino,2186-5,4227077
Total,Alabama,1,1994,1994,,,4260229
,Alabama,1,1995,1995,Hispanic or Latino,2135-2,37268
,Alabama,1,1995,1995,Not Hispanic or Latino,2186-5,4259532
Total,Alabama,1,1995,1995,,,4296800
,Alabama,1,1996,1996,Hispanic or Latino,2135-2,42796
,Alabama,1,1996,1996,Not Hispanic or Latino,2186-5,4288306
Total,Alabama,1,1996,1996,,,4331102
,Alabama,1,1997,1997,Hispanic or Latino,2135-2,49427
,Alabama,1,1997,1997,Not Hispanic or Latino,2186-5,4318508
Total,Alabama,1,1997,1997,,,4367935
,Alabama,1,1998,1998,Hispanic or Latino,2135-2,56899
,Alabama,1,1998,1998,Not Hispanic or Latino,2186-5,4347802
Total,Alabama,1,1998,1998,,,4404701
,Alabama,1,1999,1999,Hispanic or Latino,2135-2,65183
,Alabama,1,1999,1999,Not Hispanic or Latino,2186-5,4364958
Total,Alabama,1,1999,1999,,,4430141
,Alabama,1,2000,2000,Hispanic or Latino,2135-2,77016
,Alabama,1,2000,2000,Not Hispanic or Latino,2186-5,4375157
Total,Alabama,1,2000,2000,,,4452173
,Alabama,1,2001,2001,Hispanic or Latino,2135-2,85722
,Alabama,1,2001,2001,Not Hispanic or Latino,2186-5,4381912
Total,Alabama,1,2001,2001,,,4467634
,Alabama,1,2002,2002,Hispanic or Latino,2135-2,94179
,Alabama,1,2002,2002,Not Hispanic or Latino,2186-5,4385910
Total,Alabama,1,2002,2002,,,4480089
,Alabama,1,2003,2003,Hispanic or Latino,2135-2,103472
,Alabama,1,2003,2003,Not Hispanic or Latino,2186-5,4400019
Total,Alabama,1,2003,2003,,,4503491
,Alabama,1,2004,2004,Hispanic or Latino,2135-2,113284
,Alabama,1,2004,2004,Not Hispanic or Latino,2186-5,4417445
Total,Alabama,1,2004,2004,,,4530729
,Alabama,1,2005,2005,Hispanic or Latino,2135-2,124822
,Alabama,1,2005,2005,Not Hispanic or Latino,2186-5,4444983
Total,Alabama,1,2005,2005,,,4569805
,Alabama,1,2006,2006,Hispanic or Latino,2135-2,137842
,Alabama,1,2006,2006,Not Hispanic or Latino,2186-5,4491139
Total,Alabama,1,2006,2006,,,4628981
,Alabama,1,2007,2007,Hispanic or Latino,2135-2,150652
,Alabama,1,2007,2007,Not Hispanic or Latino,2186-5,4522188
Total,Alabama,1,2007,2007,,,4672840
,Alabama,1,2008,2008,Hispanic or Latino,2135-2,163709
,Alabama,1,2008,2008,Not Hispanic or Latino,2186-5,4554497
Total,Alabama,1,2008,2008,,,4718206
,Alabama,1,2009,2009,Hispanic or Latino,2135-2,176518
,Alabama,1,2009,2009,Not Hispanic or Latino,2186-5,4581420
Total,Alabama,1,2009,2009,,,4757938
,Alabama,1,2010,2010,Hispanic or Latino,2135-2,186188
,Alabama,1,2010,2010,Not Hispanic or Latino,2186-5,4599249
Total,Alabama,1,2010,2010,,,4785437
,Alabama,1,2011,2011,Hispanic or Latino,2135-2,189793
,Alabama,1,2011,2011,Not Hispanic or Latino,2186-5,4609276
Total,Alabama,1,2011,2011,,,4799069
,Alabama,1,2012,2012,Hispanic or Latino,2135-2,190655
,Alabama,1,2012,2012,Not Hispanic or Latino,2186-5,4624933
Total,Alabama,1,2012,2012,,,4815588
,Alabama,1,2013,2013,Hispanic or Latino,2135-2,193131
,Alabama,1,2013,2013,Not Hispanic or Latino,2186-5,4636950
Total,Alabama,1,2013,2013,,,4830081
,Alabama,1,2014,2014,Hispanic or Latino,2135-2,195674
,Alabama,1,2014,2014,Not Hispanic or Latino,2186-5,4646125
Total,Alabama,1,2014,2014,,,4841799
,Alabama,1,2015,2015,Hispanic or Latino,2135-2,199684
,Alabama,1,2015,2015,Not Hispanic or Latino,2186-5,4652663
Total,Alabama,1,2015,2015,,,4852347
,Alabama,1,2016,2016,Hispanic or Latino,2135-2,205380
,Alabama,1,2016,2016,Not Hispanic or Latino,2186-5,4658145
Total,Alabama,1,2016,2016,,,4863525
,Alabama,1,2017,2017,Hispanic or Latino,2135-2,210410
,Alabama,1,2017,2017,Not Hispanic or Latino,2186-5,4664076
Total,Alabama,1,2017,2017,,,4874486
,Alabama,1,2018,2018,Hispanic or Latino,2135-2,217191
,Alabama,1,2018,2018,Not Hispanic or Latino,2186-5,4670490
Total,Alabama,1,2018,2018,,,4887681
,Alabama,1,2019,2019,Hispanic or Latino,2135-2,223278
,Alabama,1,2019,2019,Not Hispanic or Latino,2186-5,4679907
Total,Alabama,1,2019,2019,,,4903185
Total,Alabama,1,,,,,136843419
,Alaska,2,1990,1990,Hispanic or Latino,2135-2,17228
,Alaska,2,1990,1990,Not Hispanic or Latino,2186-5,536062
Total,Alaska,2,1990,1990,,,553290
,Alaska,2,1991,1991,Hispanic or Latino,2135-2,17838
,Alaska,2,1991,1991,Not Hispanic or Latino,2186-5,552355
Total,Alaska,2,1991,1991,,,570193
,Alaska,2,1992,1992,Hispanic or Latino,2135-2,18617
,Alaska,2,1992,1992,Not Hispanic or Latino,2186-5,570119
Total,Alaska,2,1992,1992,,,588736
,Alaska,2,1993,1993,Hispanic or Latino,2135-2,19120
,Alaska,2,1993,1993,Not Hispanic or Latino,2186-5,580312
Total,Alaska,2,1993,1993,,,599432
,Alaska,2,1994,1994,Hispanic or Latino,2135-2,19828
,Alaska,2,1994,1994,Not Hispanic or Latino,2186-5,583480
Total,Alaska,2,1994,1994,,,603308
,Alaska,2,1995,1995,Hispanic or Latino,2135-2,20423
,Alaska,2,1995,1995,Not Hispanic or Latino,2186-5,583989
Total,Alaska,2,1995,1995,,,604412
,Alaska,2,1996,1996,Hispanic or Latino,2135-2,21067
