State,2013 (39),2013 (38),2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
United States,"53,590","51,940","51,020","50,050","49,280","49,780","50,300","50,230","48,200","46,330","44,330","43,320","42,410","42,230","41,990","40,700","38,890","37,010"
Alabama,"47,320","41,380","43,460","42,590","40,930","39,980","44,480","42,210","37,950","37,150","36,630","37,260","37,600","35,160","35,420","36,250","36,270","31,940"
Alaska,"72,470","61,140","63,650","57,430","57,850","61,600","63,990","62,990","56,420","55,890","55,060","51,840","52,770","57,360","52,850","51,400","50,690","47,990"
Arizona,"52,610","50,600","47,040","48,620","46,900","45,740","46,910","47,220","46,660","45,250","43,850","41,170","39,730","42,700","39,780","37,000","37,090","32,740"
Arkansas,"39,380","39,920","39,020","41,300","38,590","36,540","39,590","40,800","37,060","36,660","34,980","32,000","32,390","33,340","29,700","29,680","27,670","26,160"
California,"60,790","57,530","57,020","53,370","54,280","56,130","57,010","55,730","55,320","51,760","49,220","49,300","47,440","47,260","46,820","43,630","40,930","39,690"
Colorado,"67,910","63,370","57,260","58,630","60,230","55,930","60,940","61,140","55,700","50,450","50,890","49,940","48,290","49,400","48,240","48,180","46,600","43,230"
Connecticut,"69,290","67,780","64,250","65,420","66,000","64,850","64,680","64,140","62,400","56,840","55,100","54,970","53,390","53,350","50,170","50,590","46,510","43,990"
Delaware,"54,090","52,220","48,970","54,660","55,210","52,110","50,700","54,590","52,440","51,240","48,050","49,020","49,650","49,600","50,370","46,630","41,460","43,030"
District of Columbia,"60,060","60,680","65,250","55,250","56,930","53,140","55,590","50,780","48,480","44,990","43,450","45,040","39,070","41,170","41,220","38,670","33,430","31,860"
Florida,"48,530","47,890","46,070","45,110","44,070","45,630","44,860","45,790","45,680","42,990","40,540","38,970","38,020","36,420","38,860","35,830","34,910","32,460"
Georgia,"46,990","47,440","48,120","45,970","44,120","43,340","46,230","48,640","49,340","45,930","40,980","42,440","42,940","42,580","41,900","39,430","38,670","36,660"
Hawaii,"64,240","61,410","56,260","59,050","59,540","55,650","61,520","64,020","60,470","59,590","56,240","51,830","47,300","47,440","51,550","44,500","40,830","40,930"
Idaho,"48,470","51,770","47,920","47,460","47,050","46,780","47,420","49,180","46,210","44,180","44,360","42,370","37,720","38,240","37,610","35,800","36,680","33,400"
