person_id,household_id,pernum,traveldate_start,traveldate_end,hh_is_complete,numdayscomplete,num_trips,surveyable,is_participant,proxy_parent,proxy,relationship,age,gender,sexuality,race_afam,race_aiak,race_asian,race_hapi,race_white,race_other,race_noanswer,race_other_specify,race_category,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_997,ethnicity_999,ethnicity_other,employment,workplace,jobs_count,commute_freq,work_mode,commute_dur,telecommute_freq,hours_work,office_available,industry,industry_other,commute_subsidy_1,commute_subsidy_2,commute_subsidy_3,commute_subsidy_4,commute_subsidy_5,commute_subsidy_6,commute_subsidy_7,commute_subsidy_996,commute_subsidy_998,commute_subsidy_use_1,commute_subsidy_use_2,commute_subsidy_use_3,commute_subsidy_use_4,commute_subsidy_use_5,commute_subsidy_use_6,commute_subsidy_use_7,commute_subsidy_use_996,work_in_region,work_rgcname,work_county,work_jurisdiction,work_tract20,education,adult_student,schooltype,school_mode_typical,school_freq,remote_class_freq,school_in_region,school_rgcname,school_county,school_jurisdiction,school_tract20,second_home,second_home_in_region,license,vehicleused,ev_typical_charge_1,ev_typical_charge_2,ev_typical_charge_3,ev_typical_charge_4,ev_typical_charge_5,ev_typical_charge_6,ev_typical_charge_997,share_1,share_2,share_3,share_4,share_5,share_996,transit_freq,transit_pass,tnc_freq,carshare_freq,bike_freq,walk_freq,disability_person,mobility_aides,person_pct_trips_flagged,num_no_flag_days,participate,survey_year,person_weight,ObjectId,GlobalID
1710000501,17100005,1,,,,,5,,,,Respondent answered themselves,Self,55-64 years,Female,,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,,White non-Hispanic,,,,,,,,Self-employed,At home (telecommute or self-employed with home office),1 job,,,,,10 hours or fewer,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,Graduate/post-graduate degree,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,I never do this,,I never do this,I never do this,,,,,,,,2017,28.1522038584236,1,d0e491bc-27ea-4074-8384-a1eb6bc5d74e
1710000502,17100005,2,,,,,3,,,,Another person responded without the participant present (rSurvey only),Spouse or partner,65-74 years,Male,,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,,White non-Hispanic,,,,,,,,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,Some college,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,"I do this, but not in the past 30 days",,I never do this,I never do this,,,,,,,,2017,28.1522038584236,2,ee1b1c99-5063-484f-9f5e-ed13e1ee2002
1710002401,17100024,1,,,,,8,,,,Respondent answered themselves,Self,25-34 years,Another,,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,,White non-Hispanic,,,,,,,,"Employed part time (fewer than 35 hours/week, paid)",At home (telecommute or self-employed with home office),2 jobs,,,,,31-40 hours,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,Graduate/post-graduate degree,Full-time student,"College, graduate, or professional school",,"Never, only take online classes",,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,1 day a week,,"I do this, but not in the past 30 days",1-3 times in the past 30 days,,,,,,,,2017,25.0906924554585,3,ebc301b5-0029-42d0-8e44-63f499f108ad
1710002402,17100024,2,,,,,4,,,,Another person responded with the participant present (rSurvey only),Spouse or partner,25-34 years,Female,,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,,White non-Hispanic,,,,,,,,"Employed full time (35+ hours/week, paid)",Usually the same location (outside home),2 jobs,5 days a week,Bus (public transit),Between 1 and 2 years,Never,31-40 hours,,,,,,,,,,,,,,,,,,,,,,,King County,Seattle,53033008800,Graduate/post-graduate degree,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,2-4 days a week,,1-3 times in the past 30 days,1-3 times in the past 30 days,,,,,,,,2017,25.0906924554585,4,03eba740-3458-4483-b109-0510dca77428
1710002403,17100024,3,,,,,2,,,,Another person responded without the participant present (rSurvey only),Son or daughter (or child in-law),Under 5 years old,Prefer not to answer,,,,,,,,,,Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,Daycare,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,25.0906924554585,5,501916e2-e77c-49e7-801e-c6f961946481
1710005201,17100052,1,,,,,5,,,,Respondent answered themselves,Self,65-74 years,Female,,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,,White non-Hispanic,,,,,,,,Self-employed,At home (telecommute or self-employed with home office),1 job,,,,,21–30 hours,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,Graduate/post-graduate degree,"No, not a student",,,,,,,,N/A,,,,"No, does not have a license or permit",,,,,,,,,,,,,,,6-7 days a week,,I never do this,I never do this,,,,,,,,2017,26.1530876223464,6,cf8af257-9cdf-410e-bc13-1eb4478e89b6
1710005901,17100059,1,,,,,33,,,No,Respondent answered themselves,Self,25-34 years,Male,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,,Some Other Race non-Hispanic,,,,,,,,"Employed full time (35+ hours/week, paid)",Usually the same location (outside home),1 job,5 days a week,Private bus or shuttle,Between 3 and 5 years,Less than monthly,31-40 hours,,,,,,,,,,,,,,,,,,,,,,,King County,Redmond,53033022803,Bachelor degree,"No, not a student",,,,,,,,N/A,,,,"Yes, has a learner’s permit",,,,,,,,,,,,,,,6-7 days a week,,1-3 times in the past 30 days,I never do this,,,,,,,,2017,49.6842904229059,7,daf885fa-4e61-4f79-b345-83d234c92932
1710006001,17100060,1,,,,,5,,,,Respondent answered themselves,Self,65-74 years,Male,,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,,White non-Hispanic,,,,,,,,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,Some college,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,I never do this,,I never do this,I never do this,,,,,,,,2017,313.629300974478,8,2067aa85-f5eb-4496-9300-b5edc2f04bfb
1710010201,17100102,1,,,,,5,,,,Respondent answered themselves,Self,35-44 years,Male,,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,,AANHPI non-Hispanic,,,,,,,,"Employed full time (35+ hours/week, paid)",Usually the same location (outside home),1 job,4 days a week,Drive alone,Between 5 and 10 years,Less than monthly,41–50 hours,,,,,,,,,,,,,,,,,,,,,,,King County,Seattle,53033009400,Graduate/post-graduate degree,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,2-4 days a week,,1-3 times in the past 30 days,I never do this,,,,,,,,2017,46.6804013943626,9,ee457c0f-54b8-471a-80cf-ff7ae91eefd5
1710010801,17100108,1,,,,,2,,,,Respondent answered themselves,Self,25-34 years,Female,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,,Missing/No response,,,,,,,,"Employed full time (35+ hours/week, paid)",Usually the same location (outside home),1 job,5 days a week,Vanpool,Less than a year,Less than monthly,41–50 hours,,,,,,,,,,,,,,,,,,,,,,,King County,Redmond,53033022802,Graduate/post-graduate degree,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,"I do this, but not in the past 30 days",,1-3 times in the past 30 days,I never do this,,,,,,,,2017,386.881760021438,10,92a06776-dac1-45ad-a67e-811f493057a5
1710010802,17100108,2,,,,,2,,,,Respondent answered themselves,Spouse or partner,25-34 years,Male,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,,Missing/No response,,,,,,,,"Employed full time (35+ hours/week, paid)",Usually the same location (outside home),1 job,5 days a week,"Walk, jog, or wheelchair",Between 1 and 2 years,Never,41–50 hours,,,,,,,,,,,,,,,,,,,,,,Seattle Downtown,King County,Seattle,53033007302,Graduate/post-graduate degree,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,"I do this, but not in the past 30 days",,1-3 times in the past 30 days,I never do this,,,,,,,,2017,386.881760021438,11,1804941e-2888-4313-902d-c13d2bf980e2
1710011101,17100111,1,,,,,6,,,,Respondent answered themselves,Self,55-64 years,Female,,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,,White non-Hispanic,,,,,,,,"Employed part time (fewer than 35 hours/week, paid)",Workplace regularly varies (different offices or jobsites),2 jobs,2 days a week,Drive alone,,Never,11–20 hours,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,Graduate/post-graduate degree,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 1,,,,,,,,,,,,,,"I do this, but not in the past 30 days",,I never do this,I never do this,,,,,,,,2017,93.5968560701901,12,22c1645e-e7ad-4156-a2d1-876eb0cb28d7
1710011102,17100111,2,,,,,5,,,,Another person responded with the participant present (rSurvey only),Spouse or partner,55-64 years,Male,,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,,AANHPI non-Hispanic,,,,,,,,"Employed full time (35+ hours/week, paid)",Usually the same location (outside home),1 job,5 days a week,Drive alone,Between 10 and 20 years,A few times per month,41–50 hours,,,,,,,,,,,,,,,,,,,,,,Seattle Downtown,King County,Seattle,53033008003,Graduate/post-graduate degree,"No, not a student",,,,,,,,N/A,,,,"Yes, has an intermediate or unrestricted license",Household vehicle 2,,,,,,,,,,,,,,"I do this, but not in the past 30 days",,I never do this,I never do this,,,,,,,,2017,93.5968560701901,13,44e1d9a3-b6ef-4dd8-9dcc-94f00a0a93d8
1710011103,17100111,3,,,,,4,,,,Another person responded without the participant present (rSurvey only),Son or daughter (or child in-law),16-17 years,Male,,,,,,,,,,Child,,,,,,,,,,0 jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,K-12 public school,,5 days per week,,,,King County,Seattle,53033002600,,,"Yes, has an intermediate or unrestricted license",Household vehicle 3,,,,,,,,,,,,,,I never do this,,I never do this,I never do this,,,,,,,,2017,93.5968560701901,14,41709fe4-879f-4190-b89a-f79cc86d01a2
