Notes,State,State Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Age Group,Age Group Code,Population
,Alabama,1,1990,1990,< 1 year,1,59777
,Alabama,1,1990,1990,1-4 years,4-Jan,225946
,Alabama,1,1990,1990,5-9 years,9-May,287586
,Alabama,1,1990,1990,10-14 years,14-Oct,295868
,Alabama,1,1990,1990,15-19 years,15-19,318673
,Alabama,1,1990,1990,20-24 years,20-24,310351
,Alabama,1,1990,1990,25-29 years,25-29,320092
,Alabama,1,1990,1990,30-34 years,30-34,331380
,Alabama,1,1990,1990,35-39 years,35-39,308569
,Alabama,1,1990,1990,40-44 years,40-44,282037
,Alabama,1,1990,1990,45-49 years,45-49,225761
,Alabama,1,1990,1990,50-54 years,50-54,195946
,Alabama,1,1990,1990,55-59 years,55-59,184004
,Alabama,1,1990,1990,60-64 years ,60-64,182091
,Alabama,1,1990,1990,65-69 years,65-69,167384
,Alabama,1,1990,1990,70-74 years,70-74,133066
,Alabama,1,1990,1990,75-79 years,75-79,105982
,Alabama,1,1990,1990,80-84 years,80-84,67536
,Alabama,1,1990,1990,85+ years,85+,48006
Total,Alabama,1,1990,1990,,,4050055
,Alabama,1,1991,1991,< 1 year,1,60359
,Alabama,1,1991,1991,1-4 years,4-Jan,229611
,Alabama,1,1991,1991,5-9 years,9-May,287569
,Alabama,1,1991,1991,10-14 years,14-Oct,302899
,Alabama,1,1991,1991,15-19 years,15-19,310490
,Alabama,1,1991,1991,20-24 years,20-24,319230
,Alabama,1,1991,1991,25-29 years,25-29,313894
,Alabama,1,1991,1991,30-34 years,30-34,332713
,Alabama,1,1991,1991,35-39 years,35-39,317791
,Alabama,1,1991,1991,40-44 years,40-44,296904
,Alabama,1,1991,1991,45-49 years,45-49,229769
,Alabama,1,1991,1991,50-54 years,50-54,200010
,Alabama,1,1991,1991,55-59 years,55-59,185070
,Alabama,1,1991,1991,60-64 years ,60-64,182636
,Alabama,1,1991,1991,65-69 years,65-69,167197
,Alabama,1,1991,1991,70-74 years,70-74,136601
,Alabama,1,1991,1991,75-79 years,75-79,107277
,Alabama,1,1991,1991,80-84 years,80-84,68582
,Alabama,1,1991,1991,85+ years,85+,50554
Total,Alabama,1,1991,1991,,,4099156
,Alabama,1,1992,1992,< 1 year,1,60575
,Alabama,1,1992,1992,1-4 years,4-Jan,234243
,Alabama,1,1992,1992,5-9 years,9-May,287535
,Alabama,1,1992,1992,10-14 years,14-Oct,307197
,Alabama,1,1992,1992,15-19 years,15-19,309020
,Alabama,1,1992,1992,20-24 years,20-24,326365
,Alabama,1,1992,1992,25-29 years,25-29,307952
,Alabama,1,1992,1992,30-34 years,30-34,332044
,Alabama,1,1992,1992,35-39 years,35-39,327898
,Alabama,1,1992,1992,40-44 years,40-44,297140
,Alabama,1,1992,1992,45-49 years,45-49,249860
,Alabama,1,1992,1992,50-54 years,50-54,206114
,Alabama,1,1992,1992,55-59 years,55-59,187050
,Alabama,1,1992,1992,60-64 years ,60-64,181722
,Alabama,1,1992,1992,65-69 years,65-69,167844
,Alabama,1,1992,1992,70-74 years,70-74,140379
,Alabama,1,1992,1992,75-79 years,75-79,108130
,Alabama,1,1992,1992,80-84 years,80-84,70043
,Alabama,1,1992,1992,85+ years,85+,52903
Total,Alabama,1,1992,1992,,,4154014
,Alabama,1,1993,1993,< 1 year,1,59700
,Alabama,1,1993,1993,1-4 years,4-Jan,239564
,Alabama,1,1993,1993,5-9 years,9-May,289146
,Alabama,1,1993,1993,10-14 years,14-Oct,311523
,Alabama,1,1993,1993,15-19 years,15-19,312322
,Alabama,1,1993,1993,20-24 years,20-24,329027
,Alabama,1,1993,1993,25-29 years,25-29,303699
,Alabama,1,1993,1993,30-34 years,30-34,332126
,Alabama,1,1993,1993,35-39 years,35-39,336446
,Alabama,1,1993,1993,40-44 years,40-44,303727
,Alabama,1,1993,1993,45-49 years,45-49,260108
,Alabama,1,1993,1993,50-54 years,50-54,216946
,Alabama,1,1993,1993,55-59 years,55-59,191273
,Alabama,1,1993,1993,60-64 years ,60-64,180550
,Alabama,1,1993,1993,65-69 years,65-69,170138
,Alabama,1,1993,1993,70-74 years,70-74,143789
,Alabama,1,1993,1993,75-79 years,75-79,106848
,Alabama,1,1993,1993,80-84 years,80-84,72312
,Alabama,1,1993,1993,85+ years,85+,54958
Total,Alabama,1,1993,1993,,,4214202
,Alabama,1,1994,1994,< 1 year,1,58711
,Alabama,1,1994,1994,1-4 years,4-Jan,242386
,Alabama,1,1994,1994,5-9 years,9-May,293136
