Notes,State,State Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Race,Race Code,Population
,Alabama,1,1990,1990,American Indian or Alaska Native,1002-5,16224
,Alabama,1,1990,1990,Asian or Pacific Islander,A-PI,21869
,Alabama,1,1990,1990,Black or African American,2054-5,1024198
,Alabama,1,1990,1990,White,2106-3,2987764
Total,Alabama,1,1990,1990,,,4050055
,Alabama,1,1991,1991,American Indian or Alaska Native,1002-5,17015
,Alabama,1,1991,1991,Asian or Pacific Islander,A-PI,23082
,Alabama,1,1991,1991,Black or African American,2054-5,1040280
,Alabama,1,1991,1991,White,2106-3,3018779
Total,Alabama,1,1991,1991,,,4099156
,Alabama,1,1992,1992,American Indian or Alaska Native,1002-5,17357
,Alabama,1,1992,1992,Asian or Pacific Islander,A-PI,24350
,Alabama,1,1992,1992,Black or African American,2054-5,1060627
,Alabama,1,1992,1992,White,2106-3,3051680
Total,Alabama,1,1992,1992,,,4154014
,Alabama,1,1993,1993,American Indian or Alaska Native,1002-5,18002
,Alabama,1,1993,1993,Asian or Pacific Islander,A-PI,26272
,Alabama,1,1993,1993,Black or African American,2054-5,1081479
,Alabama,1,1993,1993,White,2106-3,3088449
Total,Alabama,1,1993,1993,,,4214202
,Alabama,1,1994,1994,American Indian or Alaska Native,1002-5,18566
,Alabama,1,1994,1994,Asian or Pacific Islander,A-PI,27681
,Alabama,1,1994,1994,Black or African American,2054-5,1099593
,Alabama,1,1994,1994,White,2106-3,3114389
Total,Alabama,1,1994,1994,,,4260229
,Alabama,1,1995,1995,American Indian or Alaska Native,1002-5,19386
,Alabama,1,1995,1995,Asian or Pacific Islander,A-PI,29288
,Alabama,1,1995,1995,Black or African American,2054-5,1114033
,Alabama,1,1995,1995,White,2106-3,3134093
Total,Alabama,1,1995,1995,,,4296800
,Alabama,1,1996,1996,American Indian or Alaska Native,1002-5,20493
,Alabama,1,1996,1996,Asian or Pacific Islander,A-PI,30557
,Alabama,1,1996,1996,Black or African American,2054-5,1125093
,Alabama,1,1996,1996,White,2106-3,3154959
Total,Alabama,1,1996,1996,,,4331102
,Alabama,1,1997,1997,American Indian or Alaska Native,1002-5,21229
,Alabama,1,1997,1997,Asian or Pacific Islander,A-PI,31743
,Alabama,1,1997,1997,Black or African American,2054-5,1140120
,Alabama,1,1997,1997,White,2106-3,3174843
Total,Alabama,1,1997,1997,,,4367935
,Alabama,1,1998,1998,American Indian or Alaska Native,1002-5,21783
,Alabama,1,1998,1998,Asian or Pacific Islander,A-PI,32630
,Alabama,1,1998,1998,Black or African American,2054-5,1152248
,Alabama,1,1998,1998,White,2106-3,3198040
Total,Alabama,1,1998,1998,,,4404701
,Alabama,1,1999,1999,American Indian or Alaska Native,1002-5,22666
,Alabama,1,1999,1999,Asian or Pacific Islander,A-PI,33494
,Alabama,1,1999,1999,Black or African American,2054-5,1162673
,Alabama,1,1999,1999,White,2106-3,3211308
Total,Alabama,1,1999,1999,,,4430141
,Alabama,1,2000,2000,American Indian or Alaska Native,1002-5,25139
,Alabama,1,2000,2000,Asian or Pacific Islander,A-PI,36561
,Alabama,1,2000,2000,Black or African American,2054-5,1170617
,Alabama,1,2000,2000,White,2106-3,3219856
Total,Alabama,1,2000,2000,,,4452173
,Alabama,1,2001,2001,American Indian or Alaska Native,1002-5,26010
,Alabama,1,2001,2001,Asian or Pacific Islander,A-PI,38517
,Alabama,1,2001,2001,Black or African American,2054-5,1177479
,Alabama,1,2001,2001,White,2106-3,3225628
Total,Alabama,1,2001,2001,,,4467634
,Alabama,1,2002,2002,American Indian or Alaska Native,1002-5,27003
,Alabama,1,2002,2002,Asian or Pacific Islander,A-PI,40783
,Alabama,1,2002,2002,Black or African American,2054-5,1182591
,Alabama,1,2002,2002,White,2106-3,3229712
Total,Alabama,1,2002,2002,,,4480089
,Alabama,1,2003,2003,American Indian or Alaska Native,1002-5,28065
,Alabama,1,2003,2003,Asian or Pacific Islander,A-PI,43407
,Alabama,1,2003,2003,Black or African American,2054-5,1190183
,Alabama,1,2003,2003,White,2106-3,3241836
Total,Alabama,1,2003,2003,,,4503491
,Alabama,1,2004,2004,American Indian or Alaska Native,1002-5,28974
,Alabama,1,2004,2004,Asian or Pacific Islander,A-PI,46752
,Alabama,1,2004,2004,Black or African American,2054-5,1199192
,Alabama,1,2004,2004,White,2106-3,3255811
Total,Alabama,1,2004,2004,,,4530729
,Alabama,1,2005,2005,American Indian or Alaska Native,1002-5,29957
,Alabama,1,2005,2005,Asian or Pacific Islander,A-PI,49897
,Alabama,1,2005,2005,Black or African American,2054-5,1210903
,Alabama,1,2005,2005,White,2106-3,3279048
Total,Alabama,1,2005,2005,,,4569805
