,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,R,D,D,R,R,R,R,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R
Alaska,O,O,R,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R
Arizona,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,R,R,R,R,R
Arkansas,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D
California,R,R,R,R,R,R,R,D,D,D,D,D,R,R,R,R,R,R,R,D,D,D
Colorado,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D
Connecticut,O,O,O,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D
Delaware,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Florida,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R,O,R,R,R
Georgia,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R
Hawaii,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,D,D,D
Idaho,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Illinois,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,D,D,D
Indiana,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R
Iowa,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R
Kansas,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
Kentucky,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,D,D,D,D,D,D
Louisiana,D,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,R,R,R,R,R,R
Maine,R,R,R,O,O,O,O,O,O,O,O,D,D,D,D,D,D,D,D,R,R,R
Maryland,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,D,D,D,D,D,D,D
Massachusetts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D
Michigan,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
Minnesota,R,R,R,R,R,R,R,O,O,O,O,R,R,R,R,R,R,R,R,D,D,D
Mississippi,R,R,R,R,R,R,R,R,D,D,D,D,R,R,R,R,R,R,R,R,R,R
Missouri,R,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,D,D,D,D,D
Montana,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,D
Nebraska,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Nevada,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Hampshire,R,R,R,R,R,D,D,D,D,D,D,R,R,D,D,D,D,D,D,D,D,D
New Jersey,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R,R
New Mexico,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
New York,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D
North Carolina,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R
North Dakota,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Ohio,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,R,R,R
Oklahoma,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
Oregon,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Pennsylvania,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
Rhode Island,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,O,O,O
South Carolina,R,R,R,R,R,R,R,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R
South Dakota,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Tennessee,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
Texas,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Utah,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Vermont,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,D,D,D
Virginia,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R,R
Washington,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
West Virginia,D,D,D,D,D,R,R,R,R,D,D,D,D,D,D,D,D,D,D,D,D,D
Wisconsin,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
Wyoming,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
