,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R
Alaska,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Arizona,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Arkansas,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R
California,D,D,D,S,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Colorado,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,R,R,D
Connecticut,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Delaware,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D
Florida,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Georgia,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R
Hawaii,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Idaho,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Illinois,D,D,D,R,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Indiana,D,D,D,R,R,S,S,D,D,D,D,D,D,R,R,D,D,D,D,R,R,R
Iowa,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,R,R,R
Kansas,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Kentucky,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Louisiana,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R
Maine,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,D
Maryland,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Massachusetts,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Michigan,D,S,S,R,R,D,D,R,R,R,R,R,R,R,R,D,D,D,D,R,R,R
Minnesota,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,D,D,D,D,R,R,D
Mississippi,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R
Missouri,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R
Montana,D,R,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,S,S,R,R,R
Nebraska,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nevada,D,D,D,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
New Hampshire,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,R,R,D
New Jersey,R,R,R,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,D,D,D,D
New Mexico,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
New York,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
North Carolina,D,D,D,R,R,R,R,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R
North Dakota,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Ohio,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,R,R,R
Oklahoma,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R
Oregon,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,S,S,D
Pennsylvania,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,D,R,R,R
Rhode Island,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
South Carolina,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
South Dakota,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Tennessee,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R
Texas,D,D,D,D,D,D,D,D,D,D,D,R,R,R,R,R,R,R,R,R,R,R
Utah,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Vermont,R,D,D,D,D,D,D,D,D,R,R,R,R,D,D,D,D,D,D,D,D,D
Virginia,D,D,D,D,D,D,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Washington,D,D,D,R,R,R,R,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D
West Virginia,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Wisconsin,D,D,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,R,R,R
Wyoming,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
