state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,3929.448486,4163.139648,4434.193848,4597.625488,4651.033691,4741.522949,4830.528809,4878.824707,5064.419922,5407.318359,5830.137695,6209.24707,6106.866211,6029.245117,5976.07373,5651.526855,5737.530762,5780.109863,5763.536133,5671.337402
Alaska,7548.493164,7126.733398,7616.569336,7729.85498,7947.723145,8204.307617,8377.128906,8476.907227,8799.779297,9063.064453,9467.491211,10975.70898,11693.56543,11965.5791,11938.80273,11259.58887,11627.92285,11504.82715,12108.4834,10626.9834
Arizona,3706.679443,3715.615234,3810.457031,3937.627441,4002.365479,4070.696289,4268.263184,4411.797852,4430.023926,4514.059082,4610.432129,4800.46582,4860.037598,4727.07666,4489.205078,4328.549316,4080.330811,4230.104004,4145.143555,4145.819336
Arkansas,3891.274902,4140.826172,4288.74707,4398.520508,4542.166016,4707.26416,4905.808105,5048.827637,5509.26709,5643.917969,5740.854492,5779.647949,6204.616211,6552.055176,6621.975098,5965.568359,5888.413086,5903.224121,5912.346191,5927.897949
California,4282.324707,4652.521973,4847.541504,5117.807617,5559.020996,6028.86084,6108.567871,6169.309082,6209.083496,6300.954102,6640.994141,6817.605469,6663.09668,6376.719238,6158.283691,6191.021973,6117.38623,6239.968262,6761.42627,7165.300293
Colorado,4380.313477,4640.418945,4762.376953,4838.380371,5014.390625,5255.67041,5413.59668,5558.849609,5628.645996,5736.044922,5648.052246,6077.263672,5839.800781,5914.601074,5746.795898,5565.087891,5588.166504,5766.686035,5874.130859,6062.129883
Connecticut,6697.4375,6392.750977,7073.67627,7257.177246,7502.927734,7815.854004,8033.40625,8238.84668,8357.780273,8669.975586,8952.786133,9281.356445,9889.038086,10059.69922,9784.72168,9855.779297,9967.262695,10294.51953,10561.04102,10810.37598
Delaware,5625.310059,5736.408691,5796.600586,6044.072754,6236.56543,6481.803711,6744.654297,6945.955078,7169.197266,7456.242676,7121.535645,7452.427246,7246.470703,7347.967285,7579.586914,8136.249512,8059.146973,8147.893066,8229.116211,8438.220703
District of Columbia,6105.132813,7192.650879,7726.882324,9001.079102,9786.31543,10712.18945,11454.93262,12073.875,12693.2666,12837.14453,12505.05957,16309.50781,17352.27734,18810.00195,17640.28906,17892.38086,17281.24609,16982.92969,17096.82227,17657.5332
Florida,4453.578125,4562.870117,4745.106934,4682.180664,4760.084473,4855.682617,5069.623535,5212.713379,5381.471191,5563.330566,5914.825195,6074.468262,5846.638184,5788.283203,5839.941406,5413.68457,5381.085449,5517.441895,5541.448242,5503.664063
Georgia,4609.365723,4795.29541,5090.763672,5248.695801,5495.225098,5768.266602,5851.629883,5894.493164,5823.981934,6009.018066,6265.655273,6577.96582,6493.700195,6346.89209,6147.794434,6058.328613,5919.911621,5946.176758,6082.121094,6248.016602
Hawaii,3231.664063,3451.279785,3872.994385,4179.771973,4847.046387,5524.283691,5952.233398,6259.84082,6209.719238,6512.612305,7035.885742,7191.782227,7433.102539,6376.723145,5818.631348,5478.050293,5368.926758,5976.655762,5536.766113,5722.679199
